Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0117650	0	0	0	0	0	0	0	0
Os01g0117700	190	215	92	112	16	0	0	2
Os01g0117900	31	74	49	81	57	63	22	0
Os01g0118000	341	506	275	247	369	281	338	425
Os01g0118100	1314	2112	1243	1181	685	515	770	477
Os01g0118300	2	2	1	0	10	28	0	0
Os01g0118400	73	78	21	64	0	15	58	2
Os01g0118600	7	18	11	15	9	9	0	0
Os01g0118700	151	117	116	378	35	61	126	107
Os01g0119000	1	0	1	42	0	9	0	2
Os01g0119100	45	43	16	164	0	24	0	0
Os01g0119500	1145	1188	549	649	250	226	211	165
Os01g0120300	3300	3508	3109	2964	1853	1579	1324	1012
Os01g0120400	158	212	138	163	9	15	41	6
Os01g0120500	967	1155	1038	828	287	299	531	606
Os01g0120600	58	94	80	80	39	35	17	23
Os01g0120700	686	609	620	809	88	123	137	146
Os01g0120800	2309	3027	2409	2343	1170	1877	2469	1816
Os01g0121000	0	0	0	0	0	0	0	0
Os01g0121100	617	607	428	530	123	207	245	182
Os01g0121200	24	33	16	20	0	0	2	0
Os01g0121300	31	36	21	24	0	0	0	18
Os01g0121400	0	0	0	0	0	0	0	0
ENSRNA049471381	9	2	9	15	0	0	0	1
Os01g0121500	1	1	2	15	0	1	0	0
Os01g0121600	47	47	43	54	0	0	0	0
Os01g0121700	1343	1619	1200	1122	410	388	461	412
Os01g0121800	214	170	140	208	103	60	97	22
Os01g0121900	0	0	0	0	0	0	0	0
Os01g0121950	2	0	2	5	0	0	0	0
Os01g0122000	97	57	85	106	0	2	6	0
Os01g0122200	0	0	0	0	0	0	0	0
Os01g0122367	0	0	0	0	0	0	0	0
Os01g0122534	0	0	0	0	0	0	0	0
Os01g0122701	0	0	0	0	0	0	0	0
Os01g0123500	0	0	0	0	0	2	0	0
Os01g0123700	8	12	5	2	0	0	0	0
Os01g0123800	1	15	5	6	0	0	0	0
Os01g0123900	2094	2074	1180	969	468	414	586	330
Os01g0124000	22	462	51	28	162	42	127	36
Os01g0124100	3	2	9	3	53	19	11	4
Os01g0124200	1	9	4	9	1	0	0	31
Os01g0124401	2	0	0	1	0	0	0	0
Os01g0124550	0	0	0	0	0	2	0	0
Os01g0124600	0	0	0	0	0	0	0	0
Os01g0124650	0	0	0	0	0	0	0	0
Os01g0124700	0	0	0	0	0	0	0	0
Os01g0124900	0	0	0	0	0	0	0	47
Os01g0125000	0	0	0	0	0	0	0	0
Os01g0125500	0	0	0	0	0	0	0	0
Os01g0125550	43	75	52	44	62	0	0	8
Os01g0125600	38	81	31	40	0	0	6	21
